gap_period,signal_period,momentum_period,vol_period,final_equity,total_return,trades,skipped_executions,fees_paid,slippage_impact,final_holding,start,end,shard
41,15,53,21,16976.193531526689,15.976193531527,474,0,635.420145097105,2475.340170386796,UGPA3,2018-01-02,2026-08-19,4
52,12,120,21,16947.488798294791,15.947488798295,480,3,655.566873108346,2474.533728522508,UGPA3,2018-01-02,2026-08-19,15
52,12,122,21,16725.244973408604,15.725244973409,465,3,544.287326601695,2090.240688103021,UGPA3,2018-01-02,2026-08-19,15
61,39,217,21,16710.302186820740,15.710302186821,353,0,905.145478335000,3284.070833255019,JHSF3,2018-01-02,2026-08-19,8
76,9,123,21,16671.482662477876,15.671482662478,527,0,976.886057050969,3574.427464648586,PETR4,2018-01-02,2026-08-19,7
41,15,45,21,16576.290195588736,15.576290195589,493,0,522.707307909441,2065.843494113986,UGPA3,2018-01-02,2026-08-19,4
9,51,123,21,16564.207999306160,15.564207999306,525,0,552.553740727002,2171.320763117671,UGPA3,2018-01-02,2026-08-19,4
52,8,165,21,16420.292519646988,15.420292519647,537,7,500.413148819959,2035.044873987274,UGPA3,2018-01-02,2026-08-19,15
38,15,48,21,16373.813963791616,15.373813963792,498,0,717.268355522404,2729.611448983312,UGPA3,2018-01-02,2026-08-19,1
42,19,53,21,16373.069496417782,15.373069496418,437,0,723.027585747111,2720.246906796287,UGPA3,2018-01-02,2026-08-19,5
52,12,128,21,16361.671953158158,15.361671953158,464,3,483.871016019378,1909.555294571027,UGPA3,2018-01-02,2026-08-19,15
52,12,129,21,16215.655629103609,15.215655629104,472,4,545.152300102228,2130.187392361949,UGPA3,2018-01-02,2026-08-19,15
41,15,54,21,16215.588903359983,15.215588903360,482,0,567.852657187590,2233.523570545917,UGPA3,2018-01-02,2026-08-19,4
74,9,125,21,16159.700807305750,15.159700807306,510,0,865.531540912770,3205.949381079579,JHSF3,2018-01-02,2026-08-19,5
74,19,219,21,16149.662224221123,15.149662224221,388,0,903.866390467404,3279.579816262372,JHSF3,2018-01-02,2026-08-19,5
42,19,148,21,16081.698417814046,15.081698417814,418,0,689.790601247950,2583.912735383900,UGPA3,2018-01-02,2026-08-19,5
61,39,218,21,15993.683765932859,14.993683765933,362,0,946.849169350783,3450.930461512587,JHSF3,2018-01-02,2026-08-19,8
50,10,119,21,15956.344210752051,14.956344210752,519,0,607.167302993061,2337.735215480741,UGPA3,2018-01-02,2026-08-19,13
41,19,90,21,15929.394631170208,14.929394631170,450,0,1022.673289578739,3695.152474714729,GOAU4,2018-01-02,2026-08-19,4
50,11,123,21,15925.264267160632,14.925264267161,486,0,706.591926685073,2661.423800484811,UGPA3,2018-01-02,2026-08-19,13
42,19,54,21,15908.433530214435,14.908433530214,447,0,657.793665218358,2532.199419143381,UGPA3,2018-01-02,2026-08-19,5
