date,equity,cash,holding,shares,weekly_target
2018-01-02,978.674119199777,11.025309675967,MGLU3,41,MGLU3
2018-01-03,966.471738247396,11.025309675967,MGLU3,41,MGLU3
2018-01-04,989.412214437872,11.025309675967,MGLU3,41,MGLU3
2018-01-05,970.132452533110,11.025309675967,MGLU3,41,MGLU3
2018-01-08,1025.804333942623,0.958733942623,PRIO3,501,PRIO3
2018-01-09,917.087333942623,0.958733942623,PRIO3,501,PRIO3
2018-01-10,904.762733942623,0.958733942623,PRIO3,501,PRIO3
2018-01-11,992.938733942623,0.958733942623,PRIO3,501,PRIO3
2018-01-12,961.876733942623,0.958733942623,PRIO3,501,PRIO3
2018-01-15,952.858733942623,0.958733942623,PRIO3,501,PRIO3
2018-01-16,902.257733942623,0.958733942623,PRIO3,501,PRIO3
2018-01-17,902.758733942623,0.958733942623,PRIO3,501,PRIO3
2018-01-18,872.698733942623,0.958733942623,PRIO3,501,PRIO3
2018-01-19,883.720733942623,0.958733942623,PRIO3,501,PRIO3
2018-01-22,852.658733942623,0.958733942623,PRIO3,501,PRIO3
2018-01-23,867.688733942623,0.958733942623,PRIO3,501,PRIO3
2018-01-24,917.788733942623,0.958733942623,PRIO3,501,PRIO3
2018-01-26,892.538333942623,0.958733942623,PRIO3,501,PRIO3
2018-01-29,871.237398510373,13.957398510373,SANB11,24,SANB11
2018-01-30,869.557398510373,13.957398510373,SANB11,24,SANB11
2018-01-31,874.117398510373,13.957398510373,SANB11,24,SANB11
2018-02-01,892.357398510373,13.957398510373,SANB11,24,SANB11
2018-02-02,887.557398510373,13.957398510373,SANB11,24,SANB11
2018-02-05,852.037398510373,13.957398510373,SANB11,24,SANB11
2018-02-06,882.517398510373,13.957398510373,SANB11,24,SANB11
2018-02-07,865.957398510373,13.957398510373,SANB11,24,SANB11
2018-02-08,861.877398510373,13.957398510373,SANB11,24,SANB11
2018-02-09,848.677398510373,13.957398510373,SANB11,24,SANB11
2018-02-14,892.562441314873,1.490441314873,PRIO3,544,PRIO3
2018-02-15,888.645641314873,1.490441314873,PRIO3,544,PRIO3
2018-02-16,895.282441314873,1.490441314873,PRIO3,544,PRIO3
2018-02-19,913.786446086296,4.673718268101,GOAU4,156,GOAU4
2018-02-20,897.406036576059,4.673718268101,GOAU4,156,GOAU4
2018-02-21,921.976650841415,4.673718268101,GOAU4,156,GOAU4
2018-02-22,919.636592339953,4.673718268101,GOAU4,156,GOAU4
2018-02-23,930.166855596534,4.673718268101,GOAU4,156,GOAU4
2018-02-26,962.927674617010,4.673718268101,GOAU4,156,GOAU4
2018-02-27,940.697118853116,4.673718268101,GOAU4,156,GOAU4
2018-02-28,926.656767844340,4.673718268101,GOAU4,156,GOAU4
2018-03-01,938.357060351653,4.673718268101,GOAU4,156,GOAU4
2018-03-02,916.126504587759,4.673718268101,GOAU4,156,GOAU4
2018-03-05,923.789663896837,16.869663896837,PETR4,41,PETR4
2018-03-06,914.769663896837,16.869663896837,PETR4,41,PETR4
2018-03-07,905.339663896837,16.869663896837,PETR4,41,PETR4
2018-03-08,906.569663896836,16.869663896837,PETR4,41,PETR4
2018-03-09,934.859663896837,16.869663896837,PETR4,41,PETR4
2018-03-12,932.399663896837,16.869663896837,PETR4,41,PETR4
2018-03-13,923.379663896837,16.869663896837,PETR4,41,PETR4
2018-03-14,934.449663896836,16.869663896837,PETR4,41,PETR4
2018-03-15,890.579663896836,16.869663896837,PETR4,41,PETR4
2018-03-16,895.499663896837,16.869663896837,PETR4,41,PETR4
2018-03-19,927.148338938462,9.148338938462,SUZB3,30,SUZB3
2018-03-20,922.648338938462,9.148338938462,SUZB3,30,SUZB3
2018-03-21,962.248338938462,9.148338938462,SUZB3,30,SUZB3
2018-03-22,984.148338938462,9.148338938462,SUZB3,30,SUZB3
2018-03-23,1004.848338938462,9.148338938462,SUZB3,30,SUZB3
2018-03-26,1035.448338938462,9.148338938462,SUZB3,30,SUZB3
2018-03-27,1000.048338938462,9.148338938462,SUZB3,30,SUZB3
2018-03-28,1012.648338938462,9.148338938462,SUZB3,30,SUZB3
2018-03-29,1009.948338938462,9.148338938462,SUZB3,30,SUZB3
2018-04-02,1015.048338938462,9.148338938462,SUZB3,30,SUZB3
2018-04-03,1041.148338938462,9.148338938462,SUZB3,30,SUZB3
2018-04-04,1085.848338938462,9.148338938462,SUZB3,30,SUZB3
2018-04-05,1104.148338938462,9.148338938462,SUZB3,30,SUZB3
2018-04-06,1148.848338938462,9.148338938462,SUZB3,30,SUZB3
2018-04-09,1118.248338938462,9.148338938462,SUZB3,30,SUZB3
2018-04-10,1112.248338938462,9.148338938462,SUZB3,30,SUZB3
2018-04-11,1080.148338938462,9.148338938462,SUZB3,30,SUZB3
2018-04-12,1099.648338938462,9.148338938462,SUZB3,30,SUZB3
2018-04-13,1096.648338938462,9.148338938462,SUZB3,30,SUZB3
2018-04-16,1059.413866355723,0.398985403342,MGLU3,37,MGLU3
2018-04-17,1068.553747308104,0.398985403342,MGLU3,37,MGLU3
2018-04-18,1054.238271117628,0.398985403342,MGLU3,37,MGLU3
2018-04-19,1039.702556831914,0.398985403342,MGLU3,37,MGLU3
2018-04-20,1067.562675879533,0.398985403342,MGLU3,37,MGLU3
2018-04-23,1100.157913974771,0.398985403342,MGLU3,37,MGLU3
2018-04-24,1113.812675879533,0.398985403342,MGLU3,37,MGLU3
2018-04-25,1117.446604450961,0.398985403342,MGLU3,37,MGLU3
2018-04-26,1151.143033022390,0.398985403342,MGLU3,37,MGLU3
2018-04-27,1159.952556831914,0.398985403342,MGLU3,37,MGLU3
2018-04-30,1170.347652681021,20.667652681021,SUZB3,28,SUZB3
2018-05-02,1209.267652681021,20.667652681021,SUZB3,28,SUZB3
2018-05-03,1163.627652681021,20.667652681021,SUZB3,28,SUZB3
2018-05-04,1136.467652681021,20.667652681021,SUZB3,28,SUZB3
2018-05-07,1124.707652681021,20.667652681021,SUZB3,28,SUZB3
2018-05-08,1140.107652681020,20.667652681021,SUZB3,28,SUZB3
