year,start_equity,end_equity,return,return_pct,first_observation,last_observation,complete_year
2018,1000.000000000000,1769.393472020625,0.769393472021,76.939347202063,2018-01-02,2018-12-28,True
2019,1769.393472020625,3894.635216650840,1.201113137488,120.111313748842,2019-01-02,2019-12-30,True
2020,3894.635216650840,6607.655537398071,0.696604475086,69.660447508619,2020-01-02,2020-12-30,True
2021,6607.655537398071,12489.165489450312,0.890105411634,89.010541163413,2021-01-04,2021-12-30,True
2022,12489.165489450312,13674.284422899673,0.094891763141,9.489176314065,2022-01-03,2022-12-29,True
2023,13674.284422899673,17374.485224350890,0.270595571001,27.059557100148,2023-01-02,2023-12-28,True
2024,17374.485224350890,21743.231886534759,0.251446106505,25.144610650455,2024-01-02,2024-12-30,True
2025,21743.231886534759,35428.516499856683,0.629404344521,62.940434452143,2025-01-02,2025-12-30,True
2026,35428.516499856683,91231.665628743867,1.575091328736,157.509132873551,2026-01-02,2026-09-03,False
